disease,urgency,symptoms_str,abdominal_pain,anemia,anxiety,arm_weakness,bloating,blood_in_urine,bluish_lips,blurred_vision,blurry_vision_after_screens,body_aches,brittle_nails,burning_skin_pain,burning_stomach_pain,burning_urination,burping,chest_pain,chest_pain_on_breathing,chest_tightness,chills,chills_and_rigors,clear_runny_nose,cloudy_urine,cold_intolerance,cold_sweats,confusion,constipation,coughing_at_night,coughing_up_blood,dark_yellow_urine,difficulty_breathing,difficulty_swallowing,dizziness,dizziness_in_vehicle,dry_cough,dry_eyes,dry_flaky_skin,dry_mouth,dry_skin,dull_headache,ear_pain,early_fullness,excessive_thirst,extreme_fatigue,extreme_shivering,facial_droop,facial_pressure,fainting,fatigue,fever,fluid_drainage_from_ear,flushed_face,frequent_urination,fruity_breath,fullness_after_eating,gas,green_yellow_mucus,headache,high_blood_sugar,high_fever,hives,impaired_hearing,indigestion,itchy_rash,itchy_throat,jaundice,jaw_pain,joint_pain,leg_swelling,localized_blisters,localized_muscle_pain,loss_of_appetite,loss_of_balance,loss_of_consciousness,loss_of_interest,loss_of_taste_smell,low_blood_pressure,low_grade_fever,mild_bloating_after_dairy,mild_cough,mild_diarrhea,mild_dizziness,mild_fatigue,mild_headache,mild_heartburn,mild_peeling,mild_sore_throat,mild_upper_abdominal_discomfort,morning_headache,mottled_skin,muscle_stiffness,nasal_congestion,nausea,nausea_vomiting,neck_muscle_tenderness,nosebleeds,pain_after_fatty_meals,pain_radiating_to_back,pain_radiating_to_groin,pain_radiating_to_left_arm,painful_blister_rash_one_side,painful_urination,pale_skin,pelvic_pain,periumbilical_pain,persistent_sadness,post_nasal_drip,productive_cough,profuse_sweating,pulse_difference_between_arms,purple_rash,rapid_deep_breathing,rapid_heart_rate,rapid_pulse,rash,rebound_tenderness,red_painful_skin_after_sun,reduced_range_of_motion,restlessness,right_lower_quadrant_pain,right_upper_quadrant_pain,runny_nose,seizures,sensitivity_to_light,sensitivity_to_sound,severe_anxiety,severe_behind_eye_pain,severe_flank_pain,severe_headache,severe_joint_pain_big_toe,severe_pain,severe_shortness_of_breath,severe_sore_throat,severe_sudden_headache,severe_upper_abdominal_pain,sharp_chest_pain,shortness_of_breath,shortness_of_breath_on_exertion,skin_redness,sleep_disturbances,slurred_speech,sneezing,sore_throat,soreness_after_exercise,stiff_neck,strong_urine_odor,sudden_confusion,sudden_sharp_chest_pain,sudden_shortness_of_breath,sudden_tearing_chest_pain,sudden_worst_headache_of_life,swallowing_difficulty,sweating,swelling,swollen_lips_tongue,swollen_lymph_nodes,swollen_red_joint,swollen_tonsils_white_patches,throbbing_headache,tightness_around_forehead,tingling,tinnitus,toothache,tracheal_deviation,unexplained_weight_gain,vision_loss,visual_aura,vomiting,warm_skin,warmth_over_joint,watery_itchy_eyes,wheezing
Carbon Monoxide Poisoning,Emergency,"dizziness,confusion,loss_of_consciousness,headache,shortness_of_breath",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acute Pancreatitis,Emergency,"severe_upper_abdominal_pain,pain_radiating_to_back,nausea_vomiting,fever,rapid_pulse",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contact Dermatitis,Self Care,"skin_redness,itchy_rash,localized_blisters,dry_flaky_skin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Influenza (Flu),Consult GP,"high_fever,body_aches,dry_cough,fatigue,sore_throat,headache",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sepsis,Emergency,"high_fever,rapid_heart_rate,extreme_shivering,shortness_of_breath,low_blood_pressure",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mild Eye Strain,Self Care,"dry_eyes,blurry_vision_after_screens",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypertension (Uncontrolled),Consult GP,"morning_headache,dizziness,flushed_face,fatigue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minor Motion Sickness,Self Care,"dizziness_in_vehicle,cold_sweats,pale_skin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Urinary Tract Infection (UTI),Consult GP,"burning_urination,frequent_urination,pelvic_pain,strong_urine_odor,low_grade_fever",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Severe Pneumonia,Emergency,"high_fever,shortness_of_breath,productive_cough,bluish_lips,chest_pain_on_breathing,fatigue",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
